URL,Status Code,Response Message,Domain Status,Expiration Date,For Sale,Response Time
https://www.marriott.com/hotels/travel/laxci-courtyard-los-angeles-marina-del-rey-tahiti-way/?y_source=1_MTcwMjUwOTktNDQwLWxvY2F0aW9uLndlYnNpdGU=,200.0,OK,Fresh,2025-01-04 05:00:00,No,0.731865
https://www.hyatt.com/en-US/hotel/california/tommie-hollywood/laxte,429.0,Too Many Requests,Fresh,2025-02-14 05:00:00,No,1.073957
https://www.motel6.com/en/motels.ca.hollywood.4044.html?corporatePlusNumber=CP792N5W&travelAgentNumber=TA001305,,,Fresh,2024-11-13 05:00:00,No,21.358378
https://www.hilton.com/en/hotels/laxegdt-doubletree-lax-el-segundo,403.0,Forbidden,Fresh,2024-11-22 05:00:00,No,0.901749
http://www.hollywoodhistorichotel.com/,200.0,OK,Fresh,2024-05-23 21:10:31,No,1.768062
https://www.hilton.com/en/hotels/laxhbhx-hampton-suites-hermosa-beach,403.0,Forbidden,Fresh,2024-11-22 05:00:00,No,0.941481
http://www.safariburbank.com/,,,Fresh,2024-04-07 00:52:35,No,21.392356
https://www.bestwestern.com/en_US/book/hotel-rooms.05517.html?iata=00171890&ssob=BLBWI0003G,403.0,Forbidden,Fresh,2027-12-24 00:38:03,No,0.748879
http://thehotelhollywood.com/,200.0,OK,Fresh,2024-10-02 19:53:52,No,0.968183
https://www.bestwestern.com/en_US/book/hotel-rooms.05406.html?iata=00171890&ssob=BLBWI0003G,403.0,Forbidden,Fresh,2027-12-24 00:38:03,No,0.949996
https://www.hyatt.com/en-US/hotel/california/hyatt-regency-los-angeles-international-airport/laxla,429.0,Too Many Requests,Fresh,2025-02-14 05:00:00,No,1.135827
https://www.ihg.com/holidayinn/hotels/us/en/los-angeles/laxia/hoteldetail,200.0,OK,Fresh,2024-05-03 04:00:00,No,0.939365
nan,,,Error,,,
https://www.choicehotels.com/california/hawthorne/comfort-inn-hotels/caa01?mc=llyxyxpx,,,Fresh,2025-02-24 05:00:00,No,21.248615
http://www.theblvdhotel.com/,200.0,OK,Fresh,2029-05-08 05:18:20,No,1.128335
https://www.hilton.com/en/hotels/smosmhh-hilton-santa-monica,403.0,Forbidden,Fresh,2024-11-22 05:00:00,No,0.752835
https://www.hilton.com/en/hotels/laxahhh-hilton-los-angeles-airport,403.0,Forbidden,Fresh,2024-11-22 05:00:00,No,0.740332
http://www.hollywoodcityinn.net/,,,Fresh,2033-03-04 12:41:46,No,21.374139
https://www.thehoteljune.com/west-los-angeles,200.0,OK,Fresh,2024-12-11 19:12:20,No,3.522947
https://www.ihg.com/holidayinnexpress/hotels/us/en/hawthorne/laxhb/hoteldetail,200.0,OK,Fresh,2024-05-03 04:00:00,No,0.95628
http://www.laquintainglewoodca.com/,200.0,OK,Fresh,2024-09-16 14:34:45,No,1.479763
https://www.hilton.com/en/hotels/laxeses-embassy-suites-los-angeles-international-airport-south,403.0,Forbidden,Fresh,2024-11-22 05:00:00,No,0.750519
https://www.marriott.com/hotels/travel/laxhw-springhill-suites-los-angeles-lax-manhattan-beach/?y_source=1_NjUwMDgwLTQ0MC1sb2NhdGlvbi53ZWJzaXRl,200.0,OK,Fresh,2025-01-04 05:00:00,No,0.684115
http://www.lemeridiendelfina.com/en/lemeridien/dining_and_nightlife/longitude,200.0,OK,Fresh,2024-07-17 18:41:45,No,0.687497
http://www.facebook.com/lmula,200.0,OK,Fresh,2032-03-30 04:00:00,No,0.90844
